what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460365232186
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460365241137
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1460365264618
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1460365266685
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460365266731
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1460365267569
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460365274888
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460365744591
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460366147615
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460366606939
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1460366612969
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1460366618819
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1460366623171
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1460366624615
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1460366630604
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1460366636371
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1460366636438
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1460366636465
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1460366645352
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1460366670204
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1460366672975
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1460366673081
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1460366673215
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1460366673341
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1460366673463
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1460366673601
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1460366673768
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1460366674344
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1460366675838
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1460366677676
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1460366678301
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1460366685962
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460366688271
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460366693822
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1460366705781
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460366715291
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460366715293
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460366721176
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460366721420
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460366722118
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460366722648
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460366723095
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460366723915
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460366724437
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460366727348
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460366728336
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460366730137
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460366739733
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460366739734
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460366745144
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460366750614
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1460366752321
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1460366752385
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1460366752412
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.debug",1460366754862
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460366757235
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1460366768254
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1460366768449
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.VariableView",1460366768545
activated,perspective,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugPerspective",1460366768622
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1460366768669
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.BreakpointView",1460366769470
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1460366769663
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460366770456
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1460366777217
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.VariableView",1460366780814
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1460366785451
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1460366789281
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1460366789429
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1460366789563
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1460366789693
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1460366789828
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1460366789982
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1460366790202
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1460366790479
