what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460367656424
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1460367658675
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460367662789
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1460367662974
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460367663010
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1460367664707
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460367670590
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460367670764
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1460367672175
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1460367685636
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1460367705361
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1460367707143
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1460367708012
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1460367708366
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1460367709271
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1460367709833
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1460367711800
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460367717124
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460367717305
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1460367718353
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460367721514
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1460367722230
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460367722280
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460367726087
